name,line
Dustin,"Will!"
Dustin,"Will!"
Dustin,"Dustin!"
Joyce,"Mrs. Byers?"
Joyce,"What's going on? Where's Will?"
Dustin,"The field!"
Dustin,"Will. I just found him like this! I think he's having another episode!"
Joyce,"Will! Will! Will! Sweetie, wake up! It's Mom!"
Joyce,"Will!"
Joyce,"Will, wake up! Can you hear me?"
Joyce,"Will, please, just wake up. Please, wake up!"
Joyce,"It's Mom! It's me!"
Max,"Okay, that totally freaked me out. Did that not freak you guys out?"
Lucas,"Two episodes in two days."
Unknown,"It's getting worse."
Unknown,"You think it's True Sight?"
Max,"What's True Sight?"
Unknown,"It's nothing."
Will,"I can't remember."
Joyce,"I need you to try."
Will,"I... I was on the field and... and then it... it all just went blank, and... and then you were there."
Joyce,"Will, I need you to tell me the truth."
Will,"I am."
Joyce,"This shape, I saw it on the video tape from Halloween night. It's the same shape as... as your drawing. These episodes that you're having, I think Dr. Owens is wrong. I think they're real. But... but I can't help you if I don't know what's going on. So, you have to talk to me. Please."
Joyce,"No more secrets, okay?"
Will,"Okay."
Joyce,"Did... did you see this thing again on the field?"
Will,"Yes."
Joyce,"What... what is it?"
Will,"I don't know. It's almost more like a feeling."
Joyce,"Like the one you had that night at the arcade?"
Will,"Yes."
Joyce,"What does it want?"
Will,"I don't know. It came for me, and..."
Will,"Go away! And I tried. I tried to make it go away."
Will,"But it got me, Mom."
Joyce,"Well, what does that mean?"
Will,"I felt it... everywhere. Everywhere. I... I still feel it."
Will,"I just want this to be over."
Joyce,"It's okay. It's okay. Hey. Listen. Look, look at me. I will never, ever let anything bad happen to you ever again. Whatever's going on in you, we're gonna fix it. I will fix it. I promise. I'm here."
Eleven,"""Friends don't lie."" Isn't that your bullshit saying?"
Hopper,"Hey, hey! Hey! Don't walk away from me!"
Hopper,"Where'd you go on your little field trip, huh? Where?"
Hopper,"Did you go see Mike?"
Eleven,"He didn't see me."
Hopper,"Yeah, well, that mother and her daughter did and they called the cops. Now, did anyone else see you? Anyone at all? Come on, I need you to think!"
Eleven,"Nobody saw me!"
Hopper,"You put us in danger. You realize that, right?"
Eleven,"You promised... I go! And I never leave! Nothing ever happens!"
Hopper,"Yeah! Nothing happens and you stay safe!"
Eleven,"You lie!"
Hopper,"I don't lie! I protect and I feed and I teach! And all I ask of you is that you follow three simple rules. Three rules. And you know what? You can't even do that!"
Hopper,"You're grounded. You know what that means? It means no Eggos... And no TV for a week."
Hopper,"All right, knock it off. Let go."
Hopper,"Okay. Two weeks."
Hopper,"Let go!"
Hopper,"A month!"
Eleven,"No!"
Hopper,"Well, congratulations. You just graduated from no TV for a month to no TV at all!"
Eleven,"No! No. No!"
Hopper,"You have got to understand that there are consequences to your actions."
Eleven,"You are like Papa!"
Hopper,"Really? I'm like that psychotic son of a bitch? Wow! All right. You wanna go back in the lab? One phone call. I can make that happen."
Eleven,"I hate you."
Hopper,"Yeah, well, I'm not so crazy about you, either. You know why? 'Cause you're a brat. You know what that word means? How about that be your word for the day, huh? Brat. Why don't we look it up? B-R-A-T. Brat."
Hopper,"Hey! What the hell is wrong with you?"
Hopper,"Hey! Hey! Hey! Hey!"
Hopper,"Open this door! Open the damn door!"
Hopper,"You wanna go out in the world? You better grow up! Grow the hell up!"
Will,"Mom?"
Joyce,"Will?"
Will,"Hello?"
Mike,"Do you like those grapes, Holly?"
Nancy,"Hey, Mom, I was thinking about staying the night at Stacey's tonight? We were gonna have a girl's night. Romantic comedies, do our nails, gossip..."
Unknown,"Sure! That sounds like fun."
Nancy,"Toast? No?"
Jonathan,"Hey."
Nancy,"Hey."
Jonathan,"Did you see your mom?"
Nancy,"No, she was sleeping. But I left a note."
Jonathan,"You don't have to do this, you know."
Nancy,"Stop saying that."
Florence,"Hawkins Police."
Joyce,"Flo, it's Joyce again."
Florence,"Oh, hi, Joyce. Listen, I gave him your message..."
Joyce,"He's still not there?"
Florence,"No, but..."
Joyce,"Did he get any of my messages from yesterday? Did you give..."
Florence,"Yes, do you wanna talk to..."
Joyce,"No, no, I need Hopper. Just tell him to call me the second he gets in. Please."
Florence,"Thank you."
Joyce,"Bye."
Joyce,"Hey. How you feeling, sleepyhead? Any better?"
Will,"Mmm-mmm."
Joyce,"Same as last night? Still weird?"
Will,"Yeah."
Joyce,"All right. Okay, let me see."
Joyce,"Is it a fever?"
Joyce,"No. Uh, actually, it's cold. Do you feel cold?"
Will,"No. Just a little out of it. Like I haven't really woken up yet."
Will,"You promised no doctor."
Joyce,"And I meant it. No doctor. You know what? I'm gonna run you a nice bath and it'll warm you up and hopefully get you feeling better. How's that sound? Okay."
Dustin,"Morning, Dart. Got you some breakfast. Your favorite."
Dustin,"I gotta go to school, but I'll be back soon. Sound good?"
Mike,"Stop being a baby and do it already!"
Max,"This is so disgusting. Is this really necessary?"
Dustin,"What the hell's going on?"
Mike,"What do you think? We're looking for Dart."
Lucas,"Well, well, well. Look who finally decided to show up. After I drew the short straw. Real convenient."
Max,"You stink!"
Dustin,"Hi, Max."
Max,"Hi."
Mike,"Where's Will?"
Lucas,"He'll be here."
Lucas,"Are you just gonna stand there? Or you gonna help?"
Mr. Clarke,"All living things, from complex mammals to single-celled organisms, instinctively respond to danger. Expose a bacterium to a toxic chemical, and it will flee. Or deploy some other defense mechanism. We're very much the same. When we encounter danger, our hearts start pounding. Our palms start to sweat. These are the signs of the physical and emotional state we call... fear."
Hopper,"Hey, you reached Jim. I'm probably doing something incredible right now and I can't..."
Will,"Mom."
Joyce,"Yeah, sweetie, what is it?"
Will,"It's too hot."
Joyce,"I... I can cool it down a little bit, baby, but we gotta get your body temp back up."
Will,"No."
Joyce,"What?"
Will,"He likes it cold."
Hopper,"Hey, kid. Listen, um... about last night, I, uh... I want this place cleaned up by the time I get back and then maybe I'll consider fixing the TV. You hear me?"
Florence,"Come in, Hop."
Florence,"Come in, Hop."
Florence,"Come in, Hop."
Hopper,"Yeah. Yeah, I'm on my way in, and, yes, I do know what time it is."
Florence,"Joyce Byers has called eight times already this morning. Eight times. For my sake, please deal with her!"
