name,line
Unknown,"Get him out. Go! Go!"
Will,"God! Hold on, sweetie!"
Joyce,"I'm right here. Just hold on."
Unknown,"Vitals?"
Unknown,"Heart rate 220. Temperature's 106."
Unknown,"Will, where does it hurt?"
Will,"All over."
Unknown,"She says he feels like he's burning. Check for burns."
Unknown,"I don't see anything."
Unknown,"Where does it hurt the most, Will?"
Will,"Everywhere! Everywhere!"
Dustin,"Wait a sec. How big?"
Steve,"First it was like that. Now he's like this."
Dustin,"I swear to God, man, it's just some little lizard, okay?"
Steve,"It's not a lizard."
Dustin,"How do you know?"
Steve,"How do I know if it's not?"
Dustin,"How do you know it's not just a lizard?"
Steve,"Because his face opened up and he ate my cat."
Steve,"I don't hear shit."
Dustin,"He's in there."
Steve,"All right, listen, kid. I swear, if this is some sort of Halloween prank, you're dead."
Dustin,"It's not."
Steve,"All right?"
Dustin,"It's not a prank."
Steve,"Get it out of my face."
Dustin,"You got a key for this thing?"
Steve,"Let me see that."
Dustin,"He must be further down there."
Dustin,"I'll stay up here in case he tries to escape."
Dustin,"Steve?"
Dustin,"Steve, what's going on down there?"
Steve,"Get down here."
Dustin,"Oh, shit."
Dustin,"Oh, shit!"
Dustin,"No way."
Dustin,"No way."
Joyce,"That thing, it... it did something to him."
Owens,"Okay. And these now-memories, as you call them, how long has he been experiencing them?"
Joyce,"I told you, since Thursday. Since I found him in the field."
Owens,"And why wasn't he brought in?"
Joyce,"I have been bringing him in, and what have you done? Nothing. Nothing!"
Owens,"These are new symptoms, Joyce."
Joyce,"No. No, he has been telling you over and over that something's wrong, and you said it was all in his head. You said, 'Be patient.' Those were your words."
Owens,"I understand that you're upset, okay? I get it. I would be, too, if I were in your shoes. But we are all in the same boat here, and I just need you to try..."
Joyce,"What? Stay calm? Trust you?"
Joyce,"No, I want him transferred to a real hospital."
Owens,"Well, you know that's not possible."
Unknown,"He really will get the best treatment here, Mrs. Byers."
Unknown,"The very best."
Joyce,"And what are you treating him for, exactly? Can anyone tell me what's wrong with him? Can a single person in this room tell me what is wrong with my boy? What is wrong with my boy?"
Owens,"You see why I have to stop the truth from spreading, too. Just the same as those weeds there. By whatever means necessary."
Murray,"Whoo-hoo! To taking down the man."
Nancy,"To taking down the man."
Murray,"Commie bastards sure know how to make a spirit. Am I right?"
Nancy,"Oh, no, no, no. We... we can't."
Jonathan,"Yeah, no. No, I've got to drive."
Murray,"Drive? What, tonight?"
Nancy,"Our parents..."
Murray,"Would be proud if they knew what you were up to. Just tell 'em you're at Tammy's or Dawn's or whoever's, and take my guest room."
Jonathan,"I mean, do... do you want to stay?"
Nancy,"Well, it is pretty late."
Jonathan,"Okay. Uh... Could I use the sofa?"
Murray,"Okay, I'm confused. What's going on here? A lovers' quarrel?"
Nancy,"No, no. I mean, we're just friends."
Murray,"Friends. You've told me a lot of shockers today, but that, that is the first lie."
Nancy,"It's not a lie."
Murray,"No? You're young, attractive. You've got chemistry, history, plus the real shit, shared trauma. Trust issues, am I right? Something to do with your dad."
Nancy,"What? No, I mean, my dad's..."
Murray,"An asshole. Hmm. It is a curse to see so clearly."
Murray,"You, you're harder to read. Probably, like everyone, afraid of what would happen if you accepted yourself for who you really are and retreated back to the safety of..."
Jonathan,"Name? Name?"
Murray,"Steve. Oh. Steve. We like Steve."
Nancy,"Yes. But we don't love Steve."
Jonathan,"What?"
Nancy,"No, we... I mean, I do."
Murray,"There it is, ladies and germs, the second lie of the evening."
Murray,"So, how'd I do? My goodness. You two are adorable, aren't you?"
Murray,"Listen... there's a pull-out sofa in my study if you want it. But if I were you, I'd cut the bullshit and share the damn bed."
Nancy,"Afraid."
Nancy,"Trust issues?"
Nancy,"Trust issues."
Nancy,"Retreat?"
Nancy,"I don't retreat."
Nancy,"Trust issues? I do not..."
Nancy,"Oh. Hey."
