name,line
Argyle,"Shit! Oh, shit! Oh, shit! Oh, shit!"
Mike,"God. Come on. Shit."
Jonathan,"Keep pressure on it. It's not slowing. Keep putting pressure on it."
Will,"More napkins."
Argyle,"I don't think praying's gonna help that dude."
Jonathan,"No, you idiot! St. Mary's Hospital."
Harmon,"No, no. No hospital."
Jonathan,"We're gonna get you to the hospital."
Harmon,"You need to warn… …O… Owens. The girl. She… She's in danger."
Mike,"Okay, how… how do we find Owens?"
Harmon,"Nina. Nina."
Will,"Come on. A pen."
Jonathan,"Okay. Here's the number."
Mike,"Shit. He wants to write something. Grab a magazine or something. Will, get something. Write the number."
Jonathan,"He's really bleeding a lot. Hey! Look at me! Hey! Come on!"
Argyle,"Hey, yo, yo. Wait, wait, wait. Why is it so quiet back there, huh? Yo, is he dead? Jesus, man."
Jonathan,"Talk to me! Shit! We should get off the road. Argyle, Ar… Argyle, get off the road, now!"
Argyle,"Shit, he's dead, isn't he? This is real bad."
Jonathan,"What are you doing?"
all,"Get off the road!"
unknown,"Listen. I know she was just here. And if you wanna live… You're gonna tell me where she is."
Owens,"Apologies for the bumpy ride, kiddo. I would've paved the road, but… Kinda ruins the whole 'top secret location' thing. Did you get some rest?"
Eleven,"A little."
Owens,"Good. I have a feeling you're gonna need it. Oop. Okay. Here we go. You didn't really think we were working out of a shed, did you? You built all this?"
Owens,"Well, more gave it a face-lift. Do you know what an ICBM is? It stands for intercontinental ballistic missile. It's a… a fancy bomb. We used to store them in these silos, but we haven't used this one in years. In fact, there… there's no bomb here at all. It's just a big ol' empty space. So we repurposed it to hold something much more powerful than a missile: you."
Owens,"Anne, Tracy. Morning."
woman,"Morning, doc. Morning."
Owens,"You'll have to forgive the staring. You're a bit of a celebrity down here."
Eleven,"I am?"
Owens,"Oh yeah. You kidding? You… You're bigger than Madonna to them. They've all given up their lives, their jobs, their families to come work on this program, 'cause they believe in the cause. They believe in you."
Owens,"It's okay. Yeah. We call her Nina."
Eleven,"What is it?"
man,"If we told you, it would ruin the surprise."
Brenner,"Hello, Eleven. I know. You're frightened of me. Perhaps, in our time apart, you may have even grown to hate me. But all I've ever wanted to do is to help you. And right now, I think you very much need my help. Your gifts have been stolen. I believe I know why. And I believe I know how to get them back. Let us work together again. You and I. Daughter and Papa."
Eleven,"Papa! No! No!"
agent,"Yeah, I got her. Why don't you go back inside? Play nice for the doctor, hmm?"
Eleven,"No! No! No! No!"
Brenner,"Leave her. I'm… I'm sorry, Eleven. This is not how I wanted things to begin. But everything's going to be all right. You're home now. You're home."
Antonov,"Enough! He is not yours to kill. Fools. What I tell you, American? No run. You don't listen. Now is going to be much pain. Much."
Antonov,"It could be worse, American. At least you have company. Your eyes don't deceive you. I'm a prisoner now. Like you. Yuri, the smuggler, he betrayed me. Betrayed us."
prisoner,"The pig's in trouble now."
Hopper,"You said we could trust him! You swore to me!"
Antonov,"Because I believed we could. You think this is what I planned? I have lost everything. Everything! We both knew the risks. Both of us."
prisoner,"Do us all a favor. Finish him!"
Antonov,"We gambled today, and we lost. We lost."
prisoner,"Finish him!"
Hopper,"Joyce. What about Joyce?"
Yuri,"There you are, my girl! Mwah! Why the long faces? Are you not excited for your journey across the Iron Curtain?"
Murray,"Yuri, I have a family. I have three kids waiting for me."
Yuri,"Did you know? Peanut butter is banned in motherland. I buy for dollar-thirty here, sell for $20 there."
Murray,"Your mother must be very proud."
Yuri,"My mother is dead. Dead… Tired of living like a bum! You see? Yuri has family too. And with money I earn from selling you, I will buy her a new house. I will buy my daughter a pony. Whatever they desire from now on, they will have. And, yes, for that, my mother will be very, very proud."
Yuri,"Hold tight. This is not American Airlines. Is going to get bit choppy."
unknown,"When'd Rick get out of jail?"
unknown,"Justice system's a goddamn joke."
Eddie,"Hey, Dustin, this is Eddie the Banished. You there? Dustin, can you hear me? Dustin? Earth to Dustin."
Nancy,"Hey, it's Nancy."
