name,line
Mike,"Something is coming. Something hungry for blood. A shadow grows on the wall behind you, swallowing you in darkness. It is almost here."
Unknown,"What is it?"
Unknown,"What if it's the Demogorgon?"
Unknown,"Oh, Jesus, we're so screwed if it's the Demogorgon."
Unknown,"It's not the Demogorgon."
Mike,"An army of troglodytes charge into the chamber!"
Unknown,"Troglodytes?"
Unknown,"Told ya."
Mike,"Wait a minute. Did you hear that? That... that sound? Boom... boom... Boom! That didn't come from the troglodytes. No, that... That came from something else. The Demogorgon!"
Unknown,"We're in deep shit."
Unknown,"Will, your action!"
Will,"I don't know!"
Unknown,"Fireball him!"
Will,"I'd have to roll a 13 or higher!"
Unknown,"Too risky. Cast a protection spell."
Unknown,"Don't be a pussy. Fireball him!"
Unknown,"Cast Protection."
Mike,"The Demogorgon is tired of your silly human bickering! It stomps towards you. Boom! Another stomp, boom! He roars in anger!"
Unknown,"Fireball!"
Lucas,"Where'd it go? Where is it?"
Will,"I don't know!"
Lucas,"Where is it?"
Dustin,"Oh, my God!"
Karen,"Mike!"
Lucas,"Can you find it yet?"
Will,"No, I can't find it!"
Mike,"Mom, we're in the middle of a campaign!"
Karen,"You mean the end? Fifteen after."
Lucas,"Oh, my God! Freaking idiot!"
Will,"Why do we have to go?"
Mike,"Mom, wait, just 20 more minutes!"
Karen,"It's a school night, Michael. I just put Holly to bed. You can finish next weekend."
Mike,"But that'll ruin the flow! I'm serious, Mom. The campaign took two weeks to plan. How was I supposed to know it was gonna take ten hours?"
Karen,"You've been playing for ten hours?"
Mike,"Dad, don't you think that 20 more..."
Unknown,"I think you should listen to your mother."
Will,"Oh, I got it! Does the seven count?"
Unknown,"It was a seven?"
Unknown,"Did Mike see it? Then it doesn't count."
Dustin,"Yo, hey, guys. Does anyone want this?"
Lucas,"No."
Will,"No."
Nancy,"Yeah."
Unknown,"No, I don't think..."
Nancy,"Yeah, he's cute."
Barb,"Barb, no, I don't think so."
Unknown,"Barb, you're not..."
Dustin,"There's a slice left if you want it. Sausage and pepperoni!"
Mike,"There's something wrong with your sister."
Lucas,"What are you talking about?"
Mike,"She's got a stick up her butt."
Lucas,"Yeah."
Lucas,"It's because she's been dating that douchebag, Steve Harrington."
Dustin,"Yeah, she's turning into a real jerk."
Mike,"She's always been a real jerk."
Dustin,"Nuh-uh, she used to be cool. Like that time she dressed up as an elf for our Elder tree campaign."
Mike,"Four years ago!"
Dustin,"Just saying."
Lucas,"Later."
Will,"It was a seven. The roll, it was a seven. The Demogorgon, it got me. See you tomorrow."
Lucas,"Good night, ladies."
Dustin,"Kiss your mom 'night for me."
Will,"Race you back to my place? Winner gets a comic."
