name,line
Max,"You must be an angel I can see it in your eyes Full of wonder and surprise..."
Eleven,"Oh, you found Ralph Macchio."
Max,"Macchio?"
Eleven,"Yeah, he's the Karate Kid. He's so hot, right? I bet he's an amazing kisser, too."
Eleven,"Hey, uh... is Mike a good kisser?"
Max,"I don't know. He's my first boyfriend."
Eleven,"Ex-boyfriend."
Max,"Hey, don't worry about it. Okay? He'll come crawling back to you in no time, begging for forgiveness. I guarantee you, him and Lucas are, like, totally wallowing in self-pity and misery right now. They're like, 'Oh, I hope they take us back.' God, what I wouldn't give to see their stupid faces."
Eleven,"What is it?"
Max,"Is this really gonna work?"
Eleven,"Holy shit, this is insane."
Max,"Max. Yeah, quiet. I'm sorry."
Mike,"What's wrong with me? What did I do wrong? What did I do wrong? What could I have done wrong?"
Lucas,"Nothing. Do I have to go through this again?"
Eleven,"I see them."
Max,"What are they doing?"
Eleven,"Eating."
Mike,"I just don't understand what I did to deserve this."
Lucas,"Nothing. Nothing. That's my whole point. You are the victim here."
Mike,"I know. It's just, why is she treating me this way? I don't know. What did I do wrong?"
Lucas,"Mike..."
Mike,"What did I do wrong?!"
Lucas,"Mike, stop. Relax. Just relax. Okay? Stop asking rational questions."
Mike,"I know, I know, you're right. Because women act on emotion and not logic."
Lucas,"Precisely. It's a totally different species."
Eleven,"They say we are 'species'. 'Emotion, not logic'."
Max,"What?"
Will,"Guys, it's ready."
Mike,"Will, not right now."
Eleven,"They broke up with you."
Lucas,"What else is there to talk about? Tons. Yeah, we're trying to solve the great mystery of the female species."
Lucas,"Dude, you can smell the nacho cheese."
Mike,"I got that beat."
Lucas,"No."
Mike,"No, Lucas, no."
Will,"No!"
Max,"What happened? What... What happened?"
Hopper,"When I say three inches, three... Do you knock? Jeez!"
Max,"Yeah! Jeez!"
Hopper,"Oh, hey. I'm sorry. I thought that, uh..."
Eleven,"Mike's not here."
Max,"Max wanted to have... a sleepover. Is that... okay?"
Hopper,"Yeah. Yeah. Yeah. Yeah. Your parents know about it?"
Max,"Yup."
Hopper,"Uh, yeah, it's cool. Yeah. That's... That's really cool."
Max,"Did you need something?"
Hopper,"No, no. Uh, I'll leave. I'll just let you... I'll leave you..."
Max,"Holy shit, I can't believe we're really doing this."
Max,"Ready?"
Eleven,"Ready."
Max,"Mr. Wheeler."
Eleven,"Ugh. Boring."
Max,"Yeah, boring. Spin again."
Eleven,"Against the rules?"
Max,"We make our own rules."
Max,"Billy."
Max,"Okay, look, I should just warn you, if he's with a girl or doing something gross, just get out of there right away before you're scarred for life."
Eleven,"Max..."
Max,"No, I'm just saying, I'm serious. He's really gross."
Eleven,"Max!"
Max,"Okay, shutting up now."
Eleven,"I found him."
Max,"What's he doing?"
Eleven,"I don't know. He's... on the floor... talking to someone."
Billy,"Don't be afraid. It'll be over soon. Just stay very still."
Max,"What is it? What happened?"
Mike,"What are you doing?"
Lucas,"Yeah, Will, can you turn down the music?"
Will,"Please address me by my full name."
Mike,"What?"
Will,"My full name!"
Mike,"Oh, my God. Okay, Will the Wise, can you please turn down the music?"
Will,"That is not music. That... is the sound of destiny! I have seen into the future, and I've seen that today is a new day, a day... free of girls!"
