name,line
Jonathan,"I'm sorry. I'm having trouble understanding any of this. I mean, what exactly is going on in Hawkins? What's doing these killings?"
unknown,"That's what we're trying to ascertain."
Mike,"Where is El, like, right now?"
agent,"For her safety, it's best you don't know."
Mike,"This is insane! This is insane! So this training to get El's powers back, how long is it gonna take?"
agent,"Could take weeks, could take months."
Mike,"Months?"
agent,"Until then, agents Harmon and Wallace will stay with you."
Will,"We're not in danger. Our friends live in Hawkins."
Jonathan,"My family lives in Hawkins."
agent,"I'll work to contain the situation until Eleven is ready. In the meantime, it is of vital importance you do not speak to anyone about this."
Jonathan,"No. No way."
agent,"I know this is difficult to understand."
Jonathan,"It's not difficult. This is impossible."
agent,"There are factions within our government who are working directly against Eleven, who are, in fact, searching for her as we speak. We can't risk contact. If they learned about any of this, it will jeopardize Eleven. And if Eleven is jeopardized, so are your friends. And so is your family."
Jonathan,"So, what? We're just supposed to trust that you're the good guys? Whoever you are?"
agent,"We're friends of Owens. Eleven trusted us. Now we're asking the same from you."
Max,"It was here. Right here. A grandfather clock? It was so real. And then, when I got closer, suddenly I just… I woke up."
Dustin,"Max, come on. It was like she was in a trance or something. Exactly what Eddie said happened to Chrissy."
Steve,"Max?"
Max,"That's not even the bad part. Fred and Chrissy, they both came to Miss Kelley for help. Uh, they both were having headaches, bad headaches that wouldn't go away. And then… Then the nightmares. Trouble sleeping. They'd wake up in a cold sweat. Then they started seeing things. Bad things. From their pasts. These visions, they just… They kept on getting worse and worse, until eventually… Everything ended."
Dustin,"Vecna's curse."
Max,"Chrissy's headache started a week ago. Fred's, six days ago. I've been having them for five days. I don't know how long I have. All I know is that, for Fred and Chrissy, they both died less than 24 hours after their first vision. And I just saw that goddamn clock, so… looks like I'm gonna die tomorrow."
Steve,"Stay here."
Lucas,"It's me! I'm sorry. I could've taken you out with this lamp! Sorry, guys. Sorry. I was… I was biking for eight miles. Give me a second. Shit. We've got a code red."
Dustin,"What? Dustin. I've been with Jason, Patrick, and Andy, and they've gone totally off the rails. They're trying to capture Eddie, and they think you know where he is. You're in terrible danger."
Lucas,"All right. Yeah, that definitely sucks, but we've got bigger problems than Jason now."
Erica,"Hey there. Is, uh, is Lucas home?"
Jason,"Negative. You know where he is? Uh, we're just… We were supposed to go out and..."
Erica,"Go out? I see he's taken a step down from Max."
Jason,"I'm sorry. Uh, well, you're the little sister who plays Dungeons & Dragons, huh?"
Erica,"What's it to you? Do you know Dustin Henderson?"
Jason,"Know him? I've bled with him. Chances are, he's with your cheater boyfriend. Oh, if and when you do find Lucas, please tell him I've been covering for his ass for two days now. Each day of covering costs ten bucks, with a DPR. That's a daily percentage rate of 7.9%. Another week of this and he's buying me a goddamn Nintendo, with Duck Hunt."
Andy,"Where the hell's Sinclair?"
Patrick,"That's what we're about to find out."
Jason,"We've been tricked, boys."
Steve,"Okay, be honest. Uh… You guys understand any of this?"
Lucas,"No."
Dustin,"Pretty straightforward."
Steve,"Oh, straightforward, really? What's confusing to you? So far, everyone Vecna has cursed has died, except for this old Victor Creel dude Nancy found. He's the only known survivor. If anyone knows how to beat this curse, it's him."
Dustin,"That's assuming he was cursed, which we don't even know. How can Vecna have existed in the '50s? It doesn't make sense."
Lucas,"Far as we know, Eleven didn't create the Upside Down. She opened a gate to it. The Upside Down has probably been around for thousands of years. Millions. I wouldn't be surprised if it predated the dinosaurs."
Steve,"Dinosaurs? What are we..."
Lucas,"Okay. But if a gate didn't exist in the '50s, how did Vecna get through? How's he getting through now? And why now?"
Steve,"And why then? Just pops out in the '50s, kills one family, and he's like, 'I'm good.' And poof, he just disappears. Just… gone? Only to return 30 years later and start killing random teens? No, I don't buy it. Straightforward, my ass. Honestly, Henderson, a little humility now and then, it wouldn't hurt you."
Dustin,"Sorry. Any idea what she's writing? Did she sleep?"
Lucas,"I mean, would you?"
Robin,"Okay, so… we have a plan. Thanks to Nancy's minions, we are now rock-star psychology students at the University of Notre Dame. I'm now Ruth."
Nancy,"And I'm Rose."
Steve,"Ruth?"
Nancy,"Nice GPA. Thanks. So we called Pennhurst Asylum, told them we'd like to speak with Creel for a thesis we're co-writing on paranoid schizophrenics… To which they said no. But we landed a three o'clock with the director. Now all we have to do is charm him and convince him to let us talk to Victor. Then maybe we can rid Max of this curse."
Steve,"About that. We've been doing our Victor Creel homework, and, uh… we got some questions."
Lucas,"Lots of questions."
Nancy,"So do we. Hopefully, Victor has the answers."
Steve,"Wait… Wait… Wait a second. Uh… Where's mine? Nancy, you're outta your mind if you think I'm babysitting again."
Nancy,"First, they're not babies anymore. And Max is in real danger. She needs people around her."
Steve,"I know. But why me? Oh my God, you have a Tom Cruise poster. You have a Tom Cruise poster."
Nancy,"That's old. Can you please not touch anything?"
Steve,"I can't do anything here, Nance. Maybe I can be helpful with this asylum director dude. I don't know. I could turn on my… my charm."
Nancy,"Not the charm we need."
Steve,"Ouch."
Nancy,"No, I just… I did a little digging last night, and it turns out this Dr. Hatch is a distinguished fellow of the American Psychiatric Association and a Harvard visiting scholar, okay? This is a lifelong student of the world. If we're gonna win him over, we're gonna have to convince him we are too. That, like him… we are true academic scholars."
Robin,"Holy shit. There's a little ballerina in here."
Steve,"Academic scholar? She's giving you an academic scholar vibe? Yeah."
Nancy,"No, but… she will."
Steve,"Oh, please, tell me you're joking."
Joyce,"It's busy. It's still busy. Did I do something wrong? It says dial one, then the number, which..."
Murray,"You can check on your kids later. I don't understand why it's still busy."
Joyce,"Joyce, there are certain things one can be late to in life. A dentist's appointment. A one-year-old's birthday party, because who cares? Little idiot's not gonna remember it. But for what is essentially a ransom exchange, for that, for that, I think you very much need to be on time."
Murray,"I'm sorry. I'm very tense."
Joyce,"Clearly."
Antonov,"Head west, through forest. You will see a church with a gray roof. Wait inside. Yuri will meet you there."
Hopper,"So you heard from her?"
Antonov,"Yeah, they arrived last night. They're meeting Yuri soon. If all goes well, by tomorrow night you're home, eating Enzo's with your sexy woman."
Hopper,"She's not my woman."
Antonov,"Of course not. She saves your life because of friendship. Look, American, do not put too much hope into this dream. I have thought long about this, and I give you odds of success fifty to one."
Hopper,"You don't even seem nervous, American. I'm impressed. You're a cool cat. Like Steve McQueen. The Cooler King. Yeah?"
Antonov,"Let's hope not. Of course not, because Cooler King went back to cooler. So, you must be better than McQueen today. I change mind. Now I give you odds a hundred to one."
Hopper,"Our nosy friend again. Where do you want it?"
Antonov,"Just not my face."
Hopper,"Of course not. Must be pretty for your woman. She's not my woman."
Mike,"Where are you going?"
Jonathan,"I'm just getting something to drink. Is that allowed or… How does this house arrest work?"
agent,"You're not under arrest."
Jonathan,"Right. No, no, you're… you're here to protect us."
Mike,"And watch TV, apparently."
Jonathan,"I… I mean, I don't think they've thought this through. If this goes on for a month, or months, and people can't get a hold of us, they're gonna totally freak out. Meanwhile, my mom's probably having a panic attack. And what about Hawkins? That lady's supposed to keep it 'contained.' Like you can contain any of this without El. I mean…"
Mike,"Yeah. If you keep staring at that, it's not gonna change. You know?"
Jonathan,"Yeah. Yeah, you're right."
Mike,"Before the cops came, me and El, we… we had a bad fight. We never fight. I mean, we fought before, but just, like, silly fights, stupid fights. But, I don't know, this one just felt more adult. Like, it… it just felt more real. Like, a fight you can't come back from. Maybe I should've said something, and if I would've said that thing, then maybe she'd want me there with her, wherever she is."
Will,"No. Look, Mike, you're gonna see her again, and whatever you didn't say, you can say it to her then. Okay? She's gonna be okay. She's not in Hawkins. That's what we should be worrying about."
Mike,"You don't trust Owens?"
Will,"No. I don't know. I mean, he's been good to us and good to El, but he wasn't able to protect me. That was you guys who saved me. That was you guys."
Mike,"Looks like it's gonna be up to us again."
Will,"It always is, isn't it?"
Jonathan,"Which is why we can't stay here. Listen, let's assume these friends of Owens are telling the truth. We can't call Hawkins without alerting the military, putting El in danger."
Mike,"Fine. Then we'll just go to them."
Jonathan,"Go to Hawkins?"
Mike,"How?"
Jonathan,"What are you worried about? Ponch and Jon out there? They're half-asleep now watching golf."
Mike,"No, Jonathan. I mean, we don't have a car or money."
