name, line
Hopper, "Joyce?"
Powell, "This the wall she was talking about, Chief?"
Hopper, "A trooper found something in the, uh... water that's at the quarry."
Hopper, "Our working theory right now is that Will... crashed his bike, he... made his way over the quarry and, uh... accidentally fell in."
Hopper, "The earth must have given way."
Hopper, "Joyce?"
Hopper, "Do you understand what I'm saying?"
Joyce, "No."
Joyce, "Whoever you found... is not my boy."
Joyce, "It's not Will."
Hopper, "Joyce."
Joyce, "No, you don't understand."
Joyce, "I talked to him... a half hour ago."
Joyce, "He was... He was here."
Joyce, "He was... He was talking with these."
Hopper, "Talking?"
Joyce, "Uh-huh."
Joyce, "One blink for yes, two for no."
Joyce, "And... And, uh..."
Joyce, "And then I made this so he could talk to me."
Joyce, "Cause he was hiding... from that... that thing."
Hopper, "The thing that came out of the wall?"
Hopper, "The thing that chased you?"
Joyce, "Yeah."
Joyce, "Yeah."
Jonathan, "Mom, come on, please."
Jonathan, "You’ve gotta stop this."
Joyce, "No, maybe he’s..."
Joyce, "It’s after him!"
Joyce, "He’s in danger. We have to find him! We..."
Hopper, "What exactly was this thing?"
Hopper, "It was some kind of animal, you said?"
Joyce, "Uh, no, it was..."
Joyce, "It was almost... human, but it wasn’t. It..."
Joyce, "It had these long arms and... it didn’t have a face."
Hopper, "It didn’t have a face?"
Hopper, "Joyce."
Joyce, "It didn’t have a face..."
Hopper, "Joyce, listen to me."
Hopper, "Listen to me."
Hopper, "After Sarah..."
Hopper, "I saw her, too."
Hopper, "And I heard her."
Hopper, "I didn’t know what was real."
Hopper, "And then I figured out that it was in my mind."
Hopper, "And I had to pack all that away."
Hopper, "Otherwise, I was gonna fall down a hole... that I couldn’t get out of."
Joyce, "No, you’re... you’re talking about grief."
Joyce, "This is different."
Hopper, "I’m just saying that you..."
Joyce, "No, I know what you’re saying, Hop."
Joyce, "I swear to you, I know what I saw."
Joyce, "And I’m not crazy."
Hopper, "I’m not saying that you’re crazy."
Joyce, "No... You are."
Joyce, "And I understand, but..."
Joyce, "God, I..."
Joyce, "I need you to believe me."
Joyce, "Please."
Joyce, "Please."
Hopper, "Listen..."
Hopper, "I think you should go to the morgue tomorrow and see him for yourself."
Hopper, "It’ll give you the answers that you need."
Hopper, "But tonight..."
Joyce, "Oh, God."
Hopper, "...I want you to try to get some sleep, if you can."
Reporter, "Byers’ body was found in the water of this quarry by state police earlier this evening."
Reporter, "It was discovered by state trooper David O’Bannon, just after dark."
Reporter, "The state police are mounting an investigation to determine Byers’ cause of death,"
Reporter, "but an initial inquiry..."
Karen, "Should I go down and talk to Michael?"
Ted, "Give him time."
Ted, "He’ll come to us when he’s ready."
Mike, "Can you please stop that?"
Mike, "Are you deaf?"
Mike, "I thought we were friends, you know?"
Mike, "But friends tell each other the truth."
Mike, "And they definitely don’t lie to each other."
Mike, "You made me think Will was okay, that he was still out there,"
Mike, "but he wasn’t. He wasn’t!"
Mike, "Maybe you thought you were helping, but you weren’t."
Mike, "You hurt me. Do you understand?"
Mike, "What you did sucks."
Mike, "Lucas was right about you."
Mike, "All along."
Will, "♪ So come on and let me know ♪"
Will, "♪ Should I stay or should I go? ♪"
Will, "♪ Should I stay or should I go now? ♪"
Will, "♪ Should I stay or should I go now? ♪"
Will, "♪ If I go there will be trouble ♪"
Will, "♪ If I stay it will be double ♪"
Mike, "Will, is that you? It’s Mike! Do you copy?"
Mike, "Over."
Mike, "Will, are you there?"
Mike, "Will!"
Dustin, "Was that..."
Dustin, "Was it..."
Mike, "Will."
Will, "Mom..."
Jonathan, "Mom! Wake up."
Joyce, "What... what time is it?"
Jonathan, "It’s almost 8:00. We have to go."
Joyce, "Go where? Where?"
Jonathan, "To see Will."
Karen, "Michael?"
Karen, "Hi, honey. How are you feeling?"
Mike, "I, uh..."
Mike, "I don’t think I can go to school today."
Karen, "Oh, that’s fine, sweetie."
Karen, "I need to drop off Nance, then I’m gonna check in on Barb’s parents."
Karen, "Why don’t you grab a book or something and come with me?"
Karen, "We can stop by the video store on the way back, pick out whatever you want. Even R-rated."
Mike, "I think I just want to stay home today."
Mike, "I mean, if that’s okay?"
Karen, "Well, are you sure you’re gonna be all right here by yourself?"
Mike, "I think so."
Karen, "Okay."
Karen, "But if you need anything, call Dad at work."
Mike, "Okay."
Karen, "Okay."
Karen, "Bye."
Mike, "Bye, sweetie."
Mike, "Lucas, do you copy?"
Mike, "Lucas, come on, I know you’re there!"
Mike, "This is urgent. I’m serious."
Mike, "I’m not gonna stop until you answer."
Mike, "Lucas."
Mike, "Lucas!"
Mike, "Lucas, Lucas, Lucas, Lucas, Lucas..."
Mike, "Lucas, Lucas, Lucas, Lucas, Lucas, Lucas, Lucas..."
Lucas, "Go away, Mike."
Lucas, "I’m not in the mood, all right? Over and out."
Mike, "No, not 'out.'"
Mike, "I’m not messing around, okay? This is about Will."
Mike, "Over."
Lucas, "What about Will?"
Lucas, "You mean about his funeral? Over."
Mike, "No, not his funeral."
